Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,696695,-,-,-,47.93,-97.02,-6,254,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.4.dev4+g4fed29ccf.d20260425
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,17,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,18,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,19,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,20,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,21,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,22,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,23,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,0,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,1,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,2,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,3,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,4,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,5,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,6,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,7,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,8,30,8,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,9,30,46,222,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,10,30,123,204,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,11,30,169,252,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,12,30,154,430,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,13,30,66,776,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,14,30,49,802,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,15,30,61,341,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,16,30,15,164,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,17,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,18,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,19,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,20,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,21,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,22,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,4,23,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,0,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,1,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,2,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,3,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,4,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,5,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,6,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,7,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,8,30,12,200,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,9,30,44,476,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,10,30,134,111,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,11,30,148,434,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,12,30,204,213,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,13,30,166,305,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,14,30,130,336,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,15,30,59,350,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,16,30,15,202,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,17,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,18,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,19,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,20,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,21,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,22,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,5,23,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,0,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,1,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,2,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,3,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,4,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,5,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,6,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,7,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,8,30,12,164,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,9,30,60,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,10,30,105,1,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,11,30,80,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,12,30,182,61,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,13,30,210,101,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,14,30,123,15,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,15,30,39,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,16,30,10,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,17,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,18,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,19,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,20,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,21,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,22,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,6,23,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,0,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,1,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,2,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,3,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,4,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,5,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,7,6,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
